year_month,direction,priority,scorer_version,count
2015-08,fea_surrogate,Medium,v3,14
2015-08,hip_implant,Exclude,v3,73
2015-08,hip_implant,High,v3,3
2015-08,hip_implant,Low,v3,27
2015-08,hip_implant,Medium,v3,7
2015-09,ai_bioprinting,Exclude,v3,13
2015-09,ai_bioprinting,Low,v3,6
2015-09,am_biomedical,Exclude,v3,74
2015-09,am_biomedical,High,v3,1
2015-09,am_biomedical,Low,v3,31
2015-09,am_biomedical,Medium,v3,8
2015-09,fea_surrogate,Exclude,v3,124
2015-09,fea_surrogate,High,v3,1
2015-09,fea_surrogate,Low,v3,59
2015-09,fea_surrogate,Medium,v3,6
2015-09,hip_implant,Exclude,v3,94
2015-09,hip_implant,High,v3,2
2015-09,hip_implant,Low,v3,21
2015-09,hip_implant,Medium,v3,6
2015-10,ai_bioprinting,Exclude,v3,3
2015-10,ai_bioprinting,Low,v3,2
2015-10,am_biomedical,Exclude,v3,66
2015-10,am_biomedical,Low,v3,41
2015-10,am_biomedical,Medium,v3,11
2015-10,fea_surrogate,Exclude,v3,145
2015-10,fea_surrogate,Low,v3,38
2015-10,fea_surrogate,Medium,v3,8
2015-10,hip_implant,Exclude,v3,84
2015-10,hip_implant,High,v3,2
2015-10,hip_implant,Low,v3,25
2015-10,hip_implant,Medium,v3,5
2015-11,ai_bioprinting,Exclude,v3,8
2015-11,ai_bioprinting,Low,v3,9
2015-11,am_biomedical,Exclude,v3,69
2015-11,am_biomedical,High,v3,3
2015-11,am_biomedical,Low,v3,30
2015-11,am_biomedical,Medium,v3,1
2015-11,fea_surrogate,Exclude,v3,113
2015-11,fea_surrogate,Low,v3,50
2015-11,fea_surrogate,Medium,v3,24
2015-11,hip_implant,Exclude,v3,78
2015-11,hip_implant,Low,v3,29
2015-11,hip_implant,Medium,v3,3
2015-12,ai_bioprinting,Exclude,v3,15
2015-12,ai_bioprinting,Low,v3,7
2015-12,am_biomedical,Exclude,v3,76
2015-12,am_biomedical,Low,v3,39
2015-12,am_biomedical,Medium,v3,11
2015-12,fea_surrogate,Exclude,v3,169
2015-12,fea_surrogate,High,v3,1
2015-12,fea_surrogate,Low,v3,75
2015-12,fea_surrogate,Medium,v3,12
2015-12,hip_implant,Exclude,v3,99
2015-12,hip_implant,High,v3,1
2015-12,hip_implant,Low,v3,25
2015-12,hip_implant,Medium,v3,5
2016-01,ai_bioprinting,Exclude,v3,69
2016-01,ai_bioprinting,Low,v3,50
2016-01,ai_bioprinting,Medium,v3,2
2016-01,am_biomedical,Exclude,v3,281
2016-01,am_biomedical,High,v3,2
2016-01,am_biomedical,Low,v3,201
2016-01,am_biomedical,Medium,v3,39
2016-01,fea_surrogate,Exclude,v3,408
2016-01,fea_surrogate,High,v3,4
2016-01,fea_surrogate,Low,v3,144
2016-01,fea_surrogate,Medium,v3,34
2016-01,hip_implant,Exclude,v3,343
2016-01,hip_implant,High,v3,4
2016-01,hip_implant,Low,v3,91
2016-01,hip_implant,Medium,v3,18
2016-02,ai_bioprinting,Exclude,v3,10
2016-02,ai_bioprinting,Low,v3,12
2016-02,am_biomedical,Exclude,v3,73
2016-02,am_biomedical,High,v3,1
2016-02,am_biomedical,Low,v3,38
2016-02,am_biomedical,Medium,v3,4
2016-02,fea_surrogate,Exclude,v3,109
2016-02,fea_surrogate,Low,v3,41
2016-02,fea_surrogate,Medium,v3,9
2016-02,hip_implant,Exclude,v3,107
2016-02,hip_implant,High,v3,2
2016-02,hip_implant,Low,v3,29
2016-02,hip_implant,Medium,v3,2
2016-03,ai_bioprinting,Exclude,v3,16
2016-03,ai_bioprinting,Low,v3,10
2016-03,am_biomedical,Exclude,v3,71
2016-03,am_biomedical,High,v3,3
2016-03,am_biomedical,Low,v3,37
2016-03,am_biomedical,Medium,v3,15
2016-03,fea_surrogate,Exclude,v3,174
2016-03,fea_surrogate,High,v3,1
2016-03,fea_surrogate,Low,v3,51
2016-03,fea_surrogate,Medium,v3,16
2016-03,hip_implant,Exclude,v3,111
2016-03,hip_implant,High,v3,2
2016-03,hip_implant,Low,v3,15
2016-03,hip_implant,Medium,v3,9
2016-04,ai_bioprinting,Exclude,v3,11
2016-04,ai_bioprinting,Low,v3,13
2016-04,am_biomedical,Exclude,v3,93
2016-04,am_biomedical,High,v3,1
2016-04,am_biomedical,Low,v3,36
2016-04,am_biomedical,Medium,v3,8
2016-04,fea_surrogate,Exclude,v3,169
2016-04,fea_surrogate,High,v3,1
2016-04,fea_surrogate,Low,v3,49
2016-04,fea_surrogate,Medium,v3,17
2016-04,hip_implant,Exclude,v3,88
2016-04,hip_implant,High,v3,1
2016-04,hip_implant,Low,v3,27
2016-04,hip_implant,Medium,v3,3
2016-05,ai_bioprinting,Exclude,v3,14
2016-05,ai_bioprinting,Low,v3,10
2016-05,ai_bioprinting,Medium,v3,1
2016-05,am_biomedical,Exclude,v3,77
2016-05,am_biomedical,High,v3,1
2016-05,am_biomedical,Low,v3,46
2016-05,am_biomedical,Medium,v3,20
2016-05,fea_surrogate,Exclude,v3,117
2016-05,fea_surrogate,High,v3,1
2016-05,fea_surrogate,Low,v3,47
2016-05,fea_surrogate,Medium,v3,12
2016-05,hip_implant,Exclude,v3,148
2016-05,hip_implant,High,v3,6
2016-05,hip_implant,Low,v3,44
2016-05,hip_implant,Medium,v3,5
2016-06,ai_bioprinting,Exclude,v3,14
2016-06,ai_bioprinting,Low,v3,10
2016-06,am_biomedical,Exclude,v3,73
2016-06,am_biomedical,High,v3,4
2016-06,am_biomedical,Low,v3,48
2016-06,am_biomedical,Medium,v3,8
2016-06,fea_surrogate,Exclude,v3,133
2016-06,fea_surrogate,Low,v3,72
2016-06,fea_surrogate,Medium,v3,18
2016-06,hip_implant,Exclude,v3,127
2016-06,hip_implant,High,v3,1
2016-06,hip_implant,Low,v3,45
2016-06,hip_implant,Medium,v3,2
2016-07,ai_bioprinting,Exclude,v3,14
2016-07,ai_bioprinting,Low,v3,11
2016-07,ai_bioprinting,Medium,v3,1
2016-07,am_biomedical,Exclude,v3,69
2016-07,am_biomedical,High,v3,2
2016-07,am_biomedical,Low,v3,42
2016-07,am_biomedical,Medium,v3,6
2016-07,fea_surrogate,Exclude,v3,208
2016-07,fea_surrogate,Low,v3,46
2016-07,fea_surrogate,Medium,v3,6
2016-07,hip_implant,Exclude,v3,78
2016-07,hip_implant,High,v3,4
2016-07,hip_implant,Low,v3,27
2016-07,hip_implant,Medium,v3,3
2016-08,ai_bioprinting,Exclude,v3,24
2016-08,ai_bioprinting,Low,v3,6
2016-08,am_biomedical,Exclude,v3,72
2016-08,am_biomedical,Low,v3,51
2016-08,am_biomedical,Medium,v3,8
2016-08,fea_surrogate,Exclude,v3,100
2016-08,fea_surrogate,High,v3,2
2016-08,fea_surrogate,Low,v3,52
2016-08,fea_surrogate,Medium,v3,7
2016-08,hip_implant,Exclude,v3,92
2016-08,hip_implant,Low,v3,34
2016-08,hip_implant,Medium,v3,3
2016-09,ai_bioprinting,Exclude,v3,20
2016-09,ai_bioprinting,Low,v3,9
2016-09,am_biomedical,Exclude,v3,99
2016-09,am_biomedical,High,v3,4
2016-09,am_biomedical,Low,v3,39
2016-09,am_biomedical,Medium,v3,12
2016-09,fea_surrogate,Exclude,v3,122
2016-09,fea_surrogate,Low,v3,48
2016-09,fea_surrogate,Medium,v3,13
2016-09,hip_implant,Exclude,v3,111
2016-09,hip_implant,High,v3,3
2016-09,hip_implant,Low,v3,30
2016-09,hip_implant,Medium,v3,1
2016-10,ai_bioprinting,Exclude,v3,19
2016-10,ai_bioprinting,Low,v3,9
2016-10,am_biomedical,Exclude,v3,93
2016-10,am_biomedical,High,v3,1
2016-10,am_biomedical,Low,v3,56
2016-10,am_biomedical,Medium,v3,13
2016-10,fea_surrogate,Exclude,v3,139
2016-10,fea_surrogate,Low,v3,45
2016-10,fea_surrogate,Medium,v3,17
2016-10,hip_implant,Exclude,v3,100
2016-10,hip_implant,High,v3,1
2016-10,hip_implant,Low,v3,22
2016-10,hip_implant,Medium,v3,4
2016-11,ai_bioprinting,Exclude,v3,15
2016-11,ai_bioprinting,Low,v3,6
2016-11,ai_bioprinting,Medium,v3,1
2016-11,am_biomedical,Exclude,v3,94
2016-11,am_biomedical,Low,v3,39
2016-11,am_biomedical,Medium,v3,6
2016-11,fea_surrogate,Exclude,v3,123
2016-11,fea_surrogate,High,v3,1
2016-11,fea_surrogate,Low,v3,60
2016-11,fea_surrogate,Medium,v3,14
2016-11,hip_implant,Exclude,v3,111
2016-11,hip_implant,High,v3,4
2016-11,hip_implant,Low,v3,36
2016-11,hip_implant,Medium,v3,2
2016-12,ai_bioprinting,Exclude,v3,20
2016-12,ai_bioprinting,Low,v3,10
2016-12,am_biomedical,Exclude,v3,96
2016-12,am_biomedical,High,v3,1
2016-12,am_biomedical,Low,v3,51
2016-12,am_biomedical,Medium,v3,9
2016-12,fea_surrogate,Exclude,v3,198
2016-12,fea_surrogate,Low,v3,65
2016-12,fea_surrogate,Medium,v3,18
2016-12,hip_implant,Exclude,v3,108
2016-12,hip_implant,Low,v3,25
2016-12,hip_implant,Medium,v3,6
2017-01,ai_bioprinting,Exclude,v3,93
2017-01,ai_bioprinting,Low,v3,60
2017-01,ai_bioprinting,Medium,v3,1
2017-01,am_biomedical,Exclude,v3,323
2017-01,am_biomedical,High,v3,9
2017-01,am_biomedical,Low,v3,210
2017-01,am_biomedical,Medium,v3,43
2017-01,fea_surrogate,Exclude,v3,466
2017-01,fea_surrogate,High,v3,5
2017-01,fea_surrogate,Low,v3,184
2017-01,fea_surrogate,Medium,v3,43
2017-01,hip_implant,Exclude,v3,318
2017-01,hip_implant,High,v3,7
2017-01,hip_implant,Low,v3,61
2017-01,hip_implant,Medium,v3,17
2017-02,ai_bioprinting,Exclude,v3,16
2017-02,ai_bioprinting,Low,v3,6
2017-02,am_biomedical,Exclude,v3,77
2017-02,am_biomedical,High,v3,2
2017-02,am_biomedical,Low,v3,43
2017-02,am_biomedical,Medium,v3,13
2017-02,fea_surrogate,Exclude,v3,116
2017-02,fea_surrogate,High,v3,1
2017-02,fea_surrogate,Low,v3,58
2017-02,fea_surrogate,Medium,v3,13
2017-02,hip_implant,Exclude,v3,99
2017-02,hip_implant,High,v3,3
2017-02,hip_implant,Low,v3,41
2017-02,hip_implant,Medium,v3,8
2017-03,ai_bioprinting,Exclude,v3,23
2017-03,ai_bioprinting,Low,v3,13
2017-03,ai_bioprinting,Medium,v3,2
2017-03,am_biomedical,Exclude,v3,86
2017-03,am_biomedical,High,v3,1
2017-03,am_biomedical,Low,v3,56
2017-03,am_biomedical,Medium,v3,14
2017-03,fea_surrogate,Exclude,v3,220
2017-03,fea_surrogate,High,v3,1
2017-03,fea_surrogate,Low,v3,49
2017-03,fea_surrogate,Medium,v3,15
2017-03,hip_implant,Exclude,v3,127
2017-03,hip_implant,High,v3,1
2017-03,hip_implant,Low,v3,36
2017-03,hip_implant,Medium,v3,5
2017-04,ai_bioprinting,Exclude,v3,13
2017-04,ai_bioprinting,Low,v3,14
2017-04,am_biomedical,Exclude,v3,70
2017-04,am_biomedical,High,v3,3
2017-04,am_biomedical,Low,v3,41
2017-04,am_biomedical,Medium,v3,12
2017-04,fea_surrogate,Exclude,v3,171
2017-04,fea_surrogate,Low,v3,63
2017-04,fea_surrogate,Medium,v3,7
2017-04,hip_implant,Exclude,v3,120
2017-04,hip_implant,Low,v3,33
2017-04,hip_implant,Medium,v3,2
2017-05,ai_bioprinting,Exclude,v3,14
2017-05,ai_bioprinting,Low,v3,18
2017-05,am_biomedical,Exclude,v3,108
2017-05,am_biomedical,Low,v3,56
2017-05,am_biomedical,Medium,v3,5
2017-05,fea_surrogate,Exclude,v3,135
2017-05,fea_surrogate,High,v3,1
2017-05,fea_surrogate,Low,v3,96
2017-05,fea_surrogate,Medium,v3,12
2017-05,hip_implant,Exclude,v3,116
2017-05,hip_implant,Low,v3,28
2017-05,hip_implant,Medium,v3,2
2017-06,ai_bioprinting,Exclude,v3,16
2017-06,ai_bioprinting,Low,v3,16
2017-06,am_biomedical,Exclude,v3,55
2017-06,am_biomedical,Low,v3,22
2017-06,am_biomedical,Medium,v3,11
2017-06,fea_surrogate,Exclude,v3,6
2017-06,fea_surrogate,Low,v3,22
2017-06,fea_surrogate,Medium,v3,3
2017-06,hip_implant,Exclude,v3,15
2017-06,hip_implant,High,v3,1
2017-06,hip_implant,Low,v3,3
2017-06,hip_implant,Medium,v3,1
2017-07,ai_bioprinting,Exclude,v3,24
2017-07,ai_bioprinting,Low,v3,19
2017-07,am_biomedical,Exclude,v3,105
2017-07,am_biomedical,High,v3,1
2017-07,am_biomedical,Low,v3,49
2017-07,am_biomedical,Medium,v3,13
2017-07,fea_surrogate,Exclude,v3,178
2017-07,fea_surrogate,High,v3,2
2017-07,fea_surrogate,Low,v3,69
2017-07,fea_surrogate,Medium,v3,20
2017-07,hip_implant,Exclude,v3,103
2017-07,hip_implant,Low,v3,20
2017-07,hip_implant,Medium,v3,4
2017-08,ai_bioprinting,Exclude,v3,18
2017-08,ai_bioprinting,Low,v3,16
2017-08,am_biomedical,Exclude,v3,91
2017-08,am_biomedical,High,v3,1
2017-08,am_biomedical,Low,v3,47
2017-08,am_biomedical,Medium,v3,14
2017-08,fea_surrogate,Exclude,v3,160
2017-08,fea_surrogate,Low,v3,69
2017-08,fea_surrogate,Medium,v3,18
2017-08,hip_implant,Exclude,v3,95
2017-08,hip_implant,High,v3,4
2017-08,hip_implant,Low,v3,15
2017-08,hip_implant,Medium,v3,3
2017-09,ai_bioprinting,Exclude,v3,22
2017-09,ai_bioprinting,Low,v3,5
2017-09,ai_bioprinting,Medium,v3,1
2017-09,am_biomedical,Exclude,v3,97
2017-09,am_biomedical,Low,v3,59
2017-09,am_biomedical,Medium,v3,11
2017-09,fea_surrogate,Exclude,v3,153
2017-09,fea_surrogate,High,v3,1
2017-09,fea_surrogate,Low,v3,42
2017-09,fea_surrogate,Medium,v3,9
2017-09,hip_implant,Exclude,v3,88
2017-09,hip_implant,High,v3,4
2017-09,hip_implant,Low,v3,28
2017-09,hip_implant,Medium,v3,6
2017-10,ai_bioprinting,Exclude,v3,23
2017-10,ai_bioprinting,Low,v3,13
2017-10,am_biomedical,Exclude,v3,98
2017-10,am_biomedical,High,v3,2
2017-10,am_biomedical,Low,v3,71
2017-10,am_biomedical,Medium,v3,12
2017-10,fea_surrogate,Exclude,v3,142
2017-10,fea_surrogate,Low,v3,65
2017-10,fea_surrogate,Medium,v3,12
2017-10,hip_implant,Exclude,v3,106
2017-10,hip_implant,High,v3,3
2017-10,hip_implant,Low,v3,28
2017-10,hip_implant,Medium,v3,2
2017-11,ai_bioprinting,Exclude,v3,21
2017-11,ai_bioprinting,Low,v3,16
2017-11,am_biomedical,Exclude,v3,72
2017-11,am_biomedical,High,v3,1
2017-11,am_biomedical,Low,v3,70
2017-11,am_biomedical,Medium,v3,19
2017-11,fea_surrogate,Exclude,v3,189
2017-11,fea_surrogate,High,v3,1
2017-11,fea_surrogate,Low,v3,70
2017-11,fea_surrogate,Medium,v3,28
2017-11,hip_implant,Exclude,v3,93
2017-11,hip_implant,High,v3,3
2017-11,hip_implant,Low,v3,25
2017-11,hip_implant,Medium,v3,6
2017-12,ai_bioprinting,Exclude,v3,14
2017-12,ai_bioprinting,Low,v3,17
2017-12,am_biomedical,Exclude,v3,92
2017-12,am_biomedical,High,v3,1
2017-12,am_biomedical,Low,v3,56
2017-12,am_biomedical,Medium,v3,10
2017-12,fea_surrogate,Exclude,v3,186
2017-12,fea_surrogate,Low,v3,68
2017-12,fea_surrogate,Medium,v3,25
2017-12,hip_implant,Exclude,v3,113
2017-12,hip_implant,Low,v3,37
2017-12,hip_implant,Medium,v3,6
2018-01,ai_bioprinting,Exclude,v3,66
2018-01,ai_bioprinting,Low,v3,79
2018-01,ai_bioprinting,Medium,v3,1
2018-01,am_biomedical,Exclude,v3,349
2018-01,am_biomedical,High,v3,8
2018-01,am_biomedical,Low,v3,268
2018-01,am_biomedical,Medium,v3,58
2018-01,fea_surrogate,Exclude,v3,479
2018-01,fea_surrogate,High,v3,3
2018-01,fea_surrogate,Low,v3,191
2018-01,fea_surrogate,Medium,v3,54
2018-01,hip_implant,Exclude,v3,256
2018-01,hip_implant,High,v3,2
2018-01,hip_implant,Low,v3,61
2018-01,hip_implant,Medium,v3,10
2018-02,ai_bioprinting,Exclude,v3,22
2018-02,ai_bioprinting,Low,v3,12
2018-02,ai_bioprinting,Medium,v3,1
2018-02,am_biomedical,Exclude,v3,89
2018-02,am_biomedical,Low,v3,81
2018-02,am_biomedical,Medium,v3,23
2018-02,fea_surrogate,Exclude,v3,142
2018-02,fea_surrogate,Low,v3,36
2018-02,fea_surrogate,Medium,v3,12
2018-02,hip_implant,Exclude,v3,837
2018-02,hip_implant,High,v3,8
2018-02,hip_implant,Low,v3,317
2018-02,hip_implant,Medium,v3,42
2018-03,ai_bioprinting,Exclude,v3,17
2018-03,ai_bioprinting,Low,v3,13
2018-03,ai_bioprinting,Medium,v3,1
2018-03,am_biomedical,Exclude,v3,98
2018-03,am_biomedical,High,v3,4
2018-03,am_biomedical,Low,v3,62
2018-03,am_biomedical,Medium,v3,15
2018-03,fea_surrogate,Exclude,v3,197
2018-03,fea_surrogate,Low,v3,52
2018-03,fea_surrogate,Medium,v3,20
2018-03,hip_implant,Exclude,v3,127
2018-03,hip_implant,High,v3,1
2018-03,hip_implant,Low,v3,19
2018-03,hip_implant,Medium,v3,4
2018-04,ai_bioprinting,Exclude,v3,28
2018-04,ai_bioprinting,Low,v3,20
2018-04,ai_bioprinting,Medium,v3,1
2018-04,am_biomedical,Exclude,v3,131
2018-04,am_biomedical,High,v3,3
2018-04,am_biomedical,Low,v3,54
2018-04,am_biomedical,Medium,v3,23
2018-04,fea_surrogate,Exclude,v3,190
2018-04,fea_surrogate,Low,v3,78
2018-04,fea_surrogate,Medium,v3,13
2018-04,hip_implant,Exclude,v3,148
2018-04,hip_implant,Low,v3,41
2018-04,hip_implant,Medium,v3,5
2018-05,ai_bioprinting,Exclude,v3,26
2018-05,ai_bioprinting,Low,v3,18
2018-05,am_biomedical,Exclude,v3,114
2018-05,am_biomedical,High,v3,3
2018-05,am_biomedical,Low,v3,76
2018-05,am_biomedical,Medium,v3,14
2018-05,fea_surrogate,Exclude,v3,217
2018-05,fea_surrogate,Low,v3,61
2018-05,fea_surrogate,Medium,v3,18
2018-05,hip_implant,Exclude,v3,138
2018-05,hip_implant,High,v3,1
2018-05,hip_implant,Low,v3,39
2018-05,hip_implant,Medium,v3,3
2018-06,ai_bioprinting,Exclude,v3,19
2018-06,ai_bioprinting,Low,v3,24
2018-06,ai_bioprinting,Medium,v3,3
2018-06,am_biomedical,Exclude,v3,111
2018-06,am_biomedical,High,v3,1
2018-06,am_biomedical,Low,v3,68
2018-06,am_biomedical,Medium,v3,12
2018-06,fea_surrogate,Exclude,v3,197
2018-06,fea_surrogate,Low,v3,121
2018-06,fea_surrogate,Medium,v3,29
2018-06,hip_implant,Exclude,v3,161
2018-06,hip_implant,High,v3,1
2018-06,hip_implant,Low,v3,34
2018-06,hip_implant,Medium,v3,6
2018-07,ai_bioprinting,Exclude,v3,25
2018-07,ai_bioprinting,High,v3,1
2018-07,ai_bioprinting,Low,v3,18
2018-07,am_biomedical,Exclude,v3,76
2018-07,am_biomedical,High,v3,2
2018-07,am_biomedical,Low,v3,51
2018-07,am_biomedical,Medium,v3,17
2018-07,fea_surrogate,Exclude,v3,65
2018-07,fea_surrogate,Low,v3,62
2018-07,fea_surrogate,Medium,v3,18
2018-07,hip_implant,Exclude,v3,79
2018-07,hip_implant,High,v3,2
2018-07,hip_implant,Low,v3,26
2018-07,hip_implant,Medium,v3,2
2018-08,ai_bioprinting,Exclude,v3,18
2018-08,ai_bioprinting,Low,v3,14
2018-08,ai_bioprinting,Medium,v3,2
2018-08,am_biomedical,Exclude,v3,69
2018-08,am_biomedical,High,v3,11
2018-08,am_biomedical,Low,v3,67
2018-08,am_biomedical,Medium,v3,12
2018-08,fea_surrogate,Exclude,v3,66
2018-08,fea_surrogate,High,v3,2
2018-08,fea_surrogate,Low,v3,46
2018-08,fea_surrogate,Medium,v3,25
2018-08,hip_implant,Exclude,v3,93
2018-08,hip_implant,High,v3,2
2018-08,hip_implant,Low,v3,23
2018-08,hip_implant,Medium,v3,4
2018-09,ai_bioprinting,Exclude,v3,19
2018-09,ai_bioprinting,Low,v3,5
2018-09,am_biomedical,Exclude,v3,20
2018-09,am_biomedical,High,v3,1
2018-09,am_biomedical,Low,v3,8
2018-09,hip_implant,Exclude,v3,6
2018-09,hip_implant,Low,v3,3
2018-09,hip_implant,Medium,v3,2
2018-10,ai_bioprinting,Exclude,v3,18
2018-10,ai_bioprinting,Low,v3,2
2018-10,am_biomedical,Exclude,v3,30
2018-10,am_biomedical,Low,v3,7
2018-10,am_biomedical,Medium,v3,2
2018-10,fea_surrogate,Exclude,v3,6
2018-10,fea_surrogate,Low,v3,33
2018-10,fea_surrogate,Medium,v3,9
2018-10,hip_implant,Exclude,v3,2
2018-10,hip_implant,High,v3,1
2018-10,hip_implant,Low,v3,2
2018-10,hip_implant,Medium,v3,1
2018-11,ai_bioprinting,Exclude,v3,19
2018-11,ai_bioprinting,Low,v3,22
2018-11,ai_bioprinting,Medium,v3,1
2018-11,am_biomedical,Exclude,v3,91
2018-11,am_biomedical,High,v3,1
2018-11,am_biomedical,Low,v3,87
2018-11,am_biomedical,Medium,v3,16
2018-11,fea_surrogate,Exclude,v3,187
2018-11,fea_surrogate,High,v3,1
2018-11,fea_surrogate,Low,v3,100
2018-11,fea_surrogate,Medium,v3,26
2018-11,hip_implant,Exclude,v3,108
2018-11,hip_implant,High,v3,2
2018-11,hip_implant,Low,v3,49
2018-11,hip_implant,Medium,v3,6
2018-12,ai_bioprinting,Exclude,v3,20
2018-12,ai_bioprinting,Low,v3,37
2018-12,ai_bioprinting,Medium,v3,1
2018-12,am_biomedical,Exclude,v3,99
2018-12,am_biomedical,High,v3,7
2018-12,am_biomedical,Low,v3,94
2018-12,am_biomedical,Medium,v3,23
2018-12,fea_surrogate,Exclude,v3,212
2018-12,fea_surrogate,High,v3,1
2018-12,fea_surrogate,Low,v3,97
2018-12,fea_surrogate,Medium,v3,18
2018-12,hip_implant,Exclude,v3,90
2018-12,hip_implant,High,v3,1
2018-12,hip_implant,Low,v3,27
2018-12,hip_implant,Medium,v3,3
2019-01,ai_bioprinting,Exclude,v3,56
2019-01,ai_bioprinting,Low,v3,91
2019-01,ai_bioprinting,Medium,v3,6
2019-01,am_biomedical,Exclude,v3,244
2019-01,am_biomedical,High,v3,14
2019-01,am_biomedical,Low,v3,315
2019-01,am_biomedical,Medium,v3,52
2019-01,fea_surrogate,Exclude,v3,410
2019-01,fea_surrogate,High,v3,2
2019-01,fea_surrogate,Low,v3,224
2019-01,fea_surrogate,Medium,v3,80
2019-01,hip_implant,Exclude,v3,207
2019-01,hip_implant,High,v3,4
2019-01,hip_implant,Low,v3,66
2019-01,hip_implant,Medium,v3,12
