year	file	doi	title	direction	priority	scorer_failed	silent	completeness_pct	missing_fields	consistency_verdict	consistency_note	zh_substance_verdict	zh_weak_fields	routing_verdict	routing_note
2020	2020-10-19.json	10.1080/15376494.2020.1829756	Mechanical behavior and deformation mechanism of triply periodic minimal surface sheet under compressive loading	am_biomedical	Medium	0	0	100.0		clear_mismatch	priority=Medium but reasoning contains: 未涉及	substantive		appropriate	assigned=1 >= best_other=0
2020	2020-11-12.json	10.1109/tvcg.2020.3037697	Efficient Representation and Optimization for TPMS-Based Porous Structures	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2020	2020-03-13.json	10.1177/0361198120910149	Uncertainty Quantification of Simplified Viscoelastic Continuum Damage Fatigue Model using the Bayesian Inference-Based…	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2020	2020-09-08.json	10.18260/1-2--35070	Pre- and Post-tenure: Perceptions of Requirements and Impediments for Mechanical Engineering and Mechanical Engineering…	fea_surrogate	Exclude	0	0	100.0		consistent		partly_vague	validation	appropriate	assigned=1 >= best_other=0
2020	2020-11-20.json	10.1111/clr.13678	Implant and prosthesis survival rates of full‐arch immediate prostheses supported by implants with and without bicortic…	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2021	2021-09-07.json	10.1039/d1tb00768h	Effects of bioactive strontium-substituted hydroxyapatite on osseointegration of polyethylene terephthalate artificial …	am_biomedical	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2021	2021-06-21.json		Active learning for distributionally robust chance-constrained optimization	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2021	2021-03-24.json	10.24252/asma.v3i1.20036	PERBANDINGAN STRATEGI PEMBELAJARAN AKTIF TIPE TOPICAL REVIEW DAN TIPE JEOPARDY REVIEW TERHADAP PEMAHAMAN KONSEP MATEMAT…	fea_surrogate	Exclude	0	0	100.0		consistent		partly_vague	result,validation	appropriate	assigned=1 >= best_other=0
2021	2021-08-17.json	10.1111/clr.13835	Analysis of implant stability changes in immediate loading using a laser displacement sensor in vivo and comparison of …	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2021	2021-07-01.json	10.1302/0301-620x.103b7.bjj-2020-2155.r1	One-stage exchange should be avoided in periprosthetic joint infection cases with massive femoral bone loss or with his…	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2022	2022-01-01.json	10.2139/ssrn.4068146	Microfluidic-Based 3D Bioprinting of Vascular Endothelial Networks Using Alginate-Collagen Based Biomaterials	ai_bioprinting	Exclude	0	0	100.0		consistent		partly_vague	validation	appropriate	assigned=1 >= best_other=0
2022	2022-11-04.json	10.1002/pen.26191	Correlation of reuse extent with degradation degree of PA 12 powder during laser powder bed fusion and mechanical behav…	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2022	2022-11-29.json		UQ-ARMED: Uncertainty quantification of adversarially-regularized mixed effects deep learning for clustered non-iid data	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2022	2022-04-12.json	10.3991/ijet.v17i07.28733	Application of a Teaching Plan for Algorithm Subjects Using Active Methodologies: An Experimental Report	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2022	2022-11-28.json	10.31080/asor.2022.05.0641	Case Report: Metal-on-Metal Total Hip Arthroplasty Associated with Pseudotumor	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2023	2023-03-20.json	10.1016/j.bprint.2023.e00269	Versatile and non-cytotoxic GelMA-xanthan gum biomaterial ink for extrusion-based 3D bioprinting	ai_bioprinting	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=3 >= best_other=0
2023	2023-09-04.json	10.1016/j.bioadv.2023.213617	3D-printed LEGO®-inspired titanium scaffolds for patient-specific regenerative medicine	am_biomedical	Medium	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=1
2023	2023-07-10.json		Where to Drop Sensors from Aerial Robots to Monitor a Surface-Level Phenomenon?	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2024	2024-05-11.json	10.1016/j.mtcomm.2024.109180	An integrated computation framework for predicting mechanical performance of single-phase alloys manufactured using las…	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2024	2024-03-04.json	10.37868/hsd.v6i1.392	Effects of selective laser melting process parameters on 3D-printing of Ti6Al4V/ST316L composite material and their opt…	am_biomedical	Medium	0	0	100.0		consistent		substantive		appropriate	assigned=2 >= best_other=0
2024	2024-04-03.json		Adaptive hp-Polynomial Based Sparse Grid Collocation Algorithms for Piecewise Smooth Functions with Kinks	fea_surrogate	Medium	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2025	2025-11-16.json		xLSTM-PINN: Memory-Gated Spectral Remodeling for Physics-Informed Learning	fea_surrogate	Low	0	1	0.0	relevance_to_user,why_not_core,summary_zh.motivation,summary_zh.method,summary_zh.result,summary_zh.validation,summary_en,tags,key_terms	unknown	no reasoning text to check	vague_or_empty	motivation,method,result,validation	appropriate	assigned=2 >= best_other=0
2025	2025-06-05.json		Deciding When Not to Decide: Indeterminacy-Aware Intrusion Detection with NeutroSENSE	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2025	2025-02-18.json		Conformal Prediction as Bayesian Quadrature	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=2 >= best_other=0
2025	2025-02-11.json		Towards a Foundation Model for Physics-Informed Neural Networks: Multi-PDE Learning with Active Sampling	fea_surrogate	Medium	0	0	100.0		consistent		substantive		appropriate	assigned=3 >= best_other=0
2026	2026-02-26.json		Regular Fourier Features for Nonstationary Gaussian Processes	fea_surrogate	Low	0	1	0.0	relevance_to_user,why_not_core,summary_zh.motivation,summary_zh.method,summary_zh.result,summary_zh.validation,summary_en,tags,key_terms	unknown	no reasoning text to check	vague_or_empty	motivation,method,result,validation	appropriate	assigned=1 >= best_other=0
2026	2026-02-22.json		Spectral bias in physics-informed and operator learning: Analysis and mitigation guidelines	fea_surrogate	Low	0	1	0.0	relevance_to_user,why_not_core,summary_zh.motivation,summary_zh.method,summary_zh.result,summary_zh.validation,summary_en,tags,key_terms	unknown	no reasoning text to check	vague_or_empty	motivation,method,result,validation	appropriate	assigned=3 >= best_other=0
2026	2026-01-07.json	10.7759/cureus.101047	Evaluation of Spino-Pelvic Parameters in Asian Patients Undergoing Total Hip Arthroplasty	hip_implant	Low	0	1	0.0	relevance_to_user,why_not_core,summary_zh.motivation,summary_zh.method,summary_zh.result,summary_zh.validation,summary_en,tags,key_terms	unknown	no reasoning text to check	vague_or_empty	motivation,method,result,validation	appropriate	assigned=1 >= best_other=0
